Segment>>,Consumer,F3,F4,F5,Consumer Total,Corporate,F8,F9,F10,Corporate Total,Home Office,F13,F14,F15,Home Office Total
Ship Mode>>,First Class,Same Day,Second Class,Standard Class,,First Class,Same Day,Second Class,Standard Class,,First Class,Same Day,Second Class,Standard Class,
Order ID,,,,,,,,,,,,,,,
CA-2011-100293,,,,,,,,,,,,,,91.055999999999997,91.056
CA-2011-100706,,,129.44,,129.44,,,,,,,,,,
CA-2011-100895,,,,605.47,605.47,,,,,,,,,,
CA-2011-100916,,,,,,,,,788.86,788.86,,,,,
CA-2011-101266,,,13.36,,13.36,,,,,,,,,,
CA-2011-101560,,,,,,,,542.33999999999992,,542.34,,,,,
CA-2011-101770,,,,,,,,,1.8690000000000004,1.869,,,,,
CA-2011-102274,,,,,,,,,865.5,865.5,,,,,
CA-2011-102673,,,,,,,,,1044.4399999999998,1044.44,,,,,
CA-2011-102988,,,,,,,,4251.9199999999992,,4251.92,,,,,
CA-2011-103317,,,,,,242.54600000000002,,,,242.546,,,,,
CA-2011-103366,149.94999999999999,,,,149.95,,,,,,,,,,
CA-2011-103807,,,,,,,,,21.19,21.19,,,,,
CA-2011-103989,,,,,,590.76200000000017,,,,590.762,,,,,
CA-2011-104283,,,,616.14,616.14,,,,,,,,,,
CA-2011-106054,,,,,,12.78,,,,12.78,,,,,
CA-2011-106810,,,,,,,,,310.88000000000005,310.88,,,,,
CA-2011-107573,,,,23.472000000000001,23.472,,,,,,,,,,
CA-2011-107811,,,,,,,,,661.50400000000013,661.504,,,,,
CA-2011-108707,,,,,,,,,,,,,,10.368000000000002,10.368
CA-2011-109043,243.60000000000002,,,,243.6,,,,,,,,,,
CA-2011-109232,,,545.93999999999994,,545.94,,,,,,,,,,
CA-2011-110100,,,,302.37599999999998,302.376,,,,,,,,,,
CA-2011-110408,,,,,,,,2216.8000000000002,,2216.8,,,,,
CA-2011-110422,,,25.248000000000001,,25.248,,,,,,,,,,
CA-2011-111500,,,,,,,,,484.78999999999996,484.79,,,,,
CA-2011-111934,,,,,,47.32,,,,47.32,,,,,
CA-2011-112718,,,,,,,,,1.1670000000000003,1.167,,,,,
CA-2011-113047,,11.850000000000001,,,11.85,,,,,,,,,,
CA-2011-113166,9.5680000000000014,,,,9.568,,,,,,,,,,
CA-2011-114314,,,,,,,,,16.23,16.23,,,,,
CA-2011-114321,,,,,,,,,1417.35,1417.35,,,,,
CA-2011-114335,,,,337.08800000000002,337.088,,,,,,,,,,
CA-2011-114790,,,,,,,,782.63000000000011,,782.63,,,,,
CA-2011-115084,,,,,,,,,605.34,605.34,,,,,
CA-2011-115357,,,62.91,,62.91,,,,,,,,,,
CA-2011-116190,,,,256.47999999999996,256.48,,,,,,,,,,
CA-2011-116239,,354.90000000000003,,,354.9,,,,,,,,,,
CA-2011-116407,,,,362.17600000000004,362.176,,,,,,,,,,
CA-2011-116568,,,,186.304,186.304,,,,,,,,,,
CA-2011-117016,,,,15.552000000000003,15.552,,,,,,,,,,
CA-2011-117345,,,,,,,,,202.89600000000002,202.896,,,,,
CA-2011-117639,,,,,,,,,3333.9000000000005,3333.9,,,,,
CA-2011-120432,,,,,,,,25.5,,25.5,,,,,
CA-2011-120670,,,,,,,,,,,,,,799.92000000000007,799.92
CA-2011-120768,,,1979.89,,1979.89,,,,,,,,,,
CA-2011-120950,,,,43.68,43.68,,,,,,,,,,
CA-2011-121286,,,,,,,,66.616000000000014,,66.616,,,,,
CA-2011-122217,,,,,,,,,,,,,,111.15,111.15
CA-2011-123400,,,,199.29600000000002,199.296,,,,,,,,,,
